rank,handle,title,url,sold_out_variants,total_variants,leakage,demand_proxy,price_factor,restock_priority,sold_out_variant_titles,reason
1,amruthavarshini-estate,Amruthavarshini Estate,https://bluetokaicoffee.com/products/amruthavarshini-estate,39,39,1,0.8695,0.7488,0.7603,250g / Whole Bean; 250g / Aeropress; 250g / Channi; 250g / Coffee Filter; 250g / Cold Brew; 250g / Commercial Espresso; 250g / French Press; 250g / Home Espresso; 250g / Inverted Aeropress; 250g / Moka Pot; 250g / Pourover; 250g / South Indian Filter; 250g / Turkish; 500g / Whole Bean; 500g / Aeropress; 500g / Channi; 500g / Coffee Filter; 500g / Cold Brew; 500g / Commercial Espresso; 500g / French Press; 500g / Home Espresso; 500g / Inverted Aeropress; 500g / Moka Pot; 500g / Pourover; 500g / South Indian Filter; 500g / Turkish; 1000g / Whole Bean; 1000g / Aeropress; 1000g / Channi; 1000g / Coffee Filter; 1000g / Cold Brew; 1000g / Commercial Espresso; 1000g / French Press; 1000g / Home Espresso; 1000g / Inverted Aeropress; 1000g / Moka Pot; 1000g / Pourover; 1000g / South Indian Filter; 1000g / Turkish,"39/39 variants sold out (250g / Whole Bean, 250g / Aeropress, 250g / Channi); in Best Coffee Beans in India at position 5; updated 0d ago"
2,kerehaklu-estate-light-1,Kerehaklu Estate,https://bluetokaicoffee.com/products/kerehaklu-estate-light-1,3,3,1,0.8543,0.7617,0.7525,250g; 500g; 1000g,"3/3 variants sold out (250g, 500g, 1000g); in Bestsellers at position 17; updated 0d ago"
3,assorted-6-pack,Assorted 6-Pack,https://bluetokaicoffee.com/products/assorted-6-pack,1,1,1,0.8597,0.7024,0.7318,Default Title,1/1 variants sold out (Default Title); in Bestsellers at position 15; updated 0d ago
4,wine-barrel-aged,Wine Barrel Aged Coffee,https://bluetokaicoffee.com/products/wine-barrel-aged,1,1,1,0.8756,0.6699,0.7311,250g,1/1 variants sold out (250g); in Best Coffee Beans in India at position 4; updated 0d ago
5,raxidi-lobo-estate-anaerobic-naturals,Raxidi Lobo Estate - Anaerobic Natural,https://bluetokaicoffee.com/products/raxidi-lobo-estate-anaerobic-naturals,3,3,1,0.7978,0.7677,0.7052,250g; 500g; 1kg,"3/3 variants sold out (250g, 500g, 1kg); in Bestsellers at position 38; updated 0d ago"
6,howdia-estate,Howdia Estate,https://bluetokaicoffee.com/products/howdia-estate,1,1,1,0.8085,0.6976,0.6863,250g,1/1 variants sold out (250g); in Best Coffee Beans in India at position 15; updated 0d ago
7,warsanlyngdoh-coffee-collective,Warsanlyngdoh Coffee Collective,https://bluetokaicoffee.com/products/warsanlyngdoh-coffee-collective,39,39,1,0.779,0.7488,0.6812,250g / Whole Bean; 250g / Aeropress; 250g / Channi; 250g / Coffee Filter; 250g / Cold Brew; 250g / Commercial Espresso; 250g / French Press; 250g / Home Espresso; 250g / Inverted Aeropress; 250g / Moka Pot; 250g / Pourover; 250g / South Indian Filter; 250g / Turkish; 500g / Whole Bean; 500g / Aeropress; 500g / Channi; 500g / Coffee Filter; 500g / Cold Brew; 500g / Commercial Espresso; 500g / French Press; 500g / Home Espresso; 500g / Inverted Aeropress; 500g / Moka Pot; 500g / Pourover; 500g / South Indian Filter; 500g / Turkish; 1000g / Whole Bean; 1000g / Aeropress; 1000g / Channi; 1000g / Coffee Filter; 1000g / Cold Brew; 1000g / Commercial Espresso; 1000g / French Press; 1000g / Home Espresso; 1000g / Inverted Aeropress; 1000g / Moka Pot; 1000g / Pourover; 1000g / South Indian Filter; 1000g / Turkish,"39/39 variants sold out (250g / Whole Bean, 250g / Aeropress, 250g / Channi); in Bestsellers at position 45; updated 0d ago"
8,riverdale-estate-white-rose-2,Riverdale Estate - White Rose,https://bluetokaicoffee.com/products/riverdale-estate-white-rose-2,1,1,1,0.7952,0.6914,0.6725,250g,1/1 variants sold out (250g); in Bestsellers at position 39; updated 0d ago
9,kerehaklu-estate-peaberries,Kerehaklu Estate - Peaberries,https://bluetokaicoffee.com/products/kerehaklu-estate-peaberries,1,1,1,0.7898,0.6914,0.6679,250g,1/1 variants sold out (250g); in Bestsellers at position 41; updated 0d ago
10,origin-unhurried-yercaud-pack,Origin Unhurried: Yercaud Pack,https://bluetokaicoffee.com/products/origin-unhurried-yercaud-pack,1,1,1,0.7925,0.6847,0.6675,225g,1/1 variants sold out (225g); in Bestsellers at position 40; updated 0d ago
